	sentence	masked_sen	label
838	We looked all day and finally found the child in the forest	We [MASK] all day and finally found the child in the forest	0
839	The house looks north	The house [MASK] north	1
840	She looked her devotion to me	She [MASK] her devotion to me	0
841	You don't look your age!	You don't [MASK] your age!	0
842	The bicycle looped around the tree.	The bicycle [MASK] around the tree.	1
843	The stunt pilot looped his plane.	The stunt pilot [MASK] his plane.	1
844	He looped the watch through his belt.	He [MASK] the watch through his belt.	0
845	map the surface of Venus	[MASK] the surface of Venus	0
846	We haven't even begun to map the many galaxies that we know exist	We haven't even begun to [MASK] the many galaxies that we know exist	0
847	sorrow was mapped on the mother's face	sorrow was [MASK] on the mother's face	1
848	The Japanese marched their prisoners through Manchuria	The Japanese [MASK] their prisoners through Manchuria	0
849	He marched into the classroom and announced the exam	He [MASK] into the classroom and announced the exam	0
850	They marched the mules into the desert	They [MASK] the mules into the desert	0
851	The company matched the employees' contributions.	The company [MASK] the employees' contributions.	0
852	This job doesn't match my dreams.	This job doesn't [MASK] my dreams.	0
853	Let them match their best athletes against ours.	Let them [MASK] their best athletes against ours.	0
854	The two pieces match.	The two pieces [MASK].	0
855	You never understand what I mean!	You never understand what I [MASK]!	0
856	The water shortage means that we have to stop taking long showers.	The water shortage [MASK] that we have to stop taking long showers.	0
857	These flowers were meant for you.	These flowers were [MASK] for you.	0
858	Age and experience mellowed him over the years	Age and experience [MASK] him over the years	0
859	"""With age, he mellowed"""	"""With age, he [MASK]"""	0
860	These apples need to mellow a bit more	These apples need to [MASK] a bit more	1
861	The wax melted in the sun	The wax [MASK] in the sun	0
862	The sun melted the ice	The sun [MASK] the ice	0
863	Hundreds of actors were melting into the scene	Hundreds of actors were [MASK] into the scene	1
864	her resistance melted under his charm	her resistance [MASK] under his charm	1
865	I missed that remark	I [MASK] that remark	0
866	He misses his mother	He [MASK] his mother	0
867	I missed the concert	I [MASK] the concert	0
868	How could I miss that typo?	How could I [MASK] that typo?	0
869	She missed her train	She [MASK] her train	0
870	The arrow missed the target	The arrow [MASK] the target	0
871	The child had been missing for a week	The child had been [MASK] for a week	0
872	"""Fortunately, I missed the hurricane"""	"""Fortunately, I [MASK] the hurricane"""	0
873	John moderated the discussion	John [MASK] the discussion	0
874	moderate your alcohol intake	[MASK] your alcohol intake	0
875	He moderated his tone when the students burst out in tears	He [MASK] his tone when the students burst out in tears	0
876	The furniture molded in the old house	The furniture [MASK] in the old house	0
877	She molded the rice balls carefully	She [MASK] the rice balls carefully	0
878	The dress molds her beautiful figure	The dress [MASK] her beautiful figure	1
879	They mounted the aerator on a floating	They [MASK] the aerator on a floating	0
880	mount slides for macroscopic analysis	[MASK] slides for macroscopic analysis	0
881	mount a campaign against pornography	[MASK] a campaign against pornography	1
882	mount a theater production	[MASK] a theater production	1
883	She nags her husband all day long	She [MASK] her husband all day long	0
884	nagging concerns and doubts	[MASK] concerns and doubts	1
885	she nagged to take a vacation	she [MASK] to take a vacation	0
886	They named their son David	They [MASK] their son David	0
887	Many senators were named in connection with the scandal	Many senators were [MASK] in connection with the scandal	0
888	She was named Head of the Committee	She was [MASK] Head of the Committee	0
889	name your accomplices!	[MASK] your accomplices!	0
890	His name was mentioned in connection with the invention	His [MASK] was mentioned in connection with the invention	0
891	negociate securities	[MASK] securities	0
892	The hiker negociated the high mountain pass	The hiker [MASK] the high mountain pass	1
893	The parties negociated all night	The parties [MASK] all night	0
894	The treaty neutralized the small republic	The treaty [MASK] the small republic	1
895	Her optimism neutralizes his gloom	Her optimism [MASK] his gloom	1
896	She neutralized the solution	She [MASK] the solution	0
897	He nodded his approval	He [MASK] his approval	0
898	The teacher nodded when the student gave the right answer	The teacher [MASK] when the student gave the right answer	0
899	The old man was nodding in his chair	The old man was [MASK] in his chair	0
900	the flowers were nodding in the breeze	the flowers were [MASK] in the breeze	1
901	The old man sat nodding by the fireplace	The old man sat [MASK] by the fireplace	0
902	She noted that someone was following her	She [MASK] that someone was following her	0
903	Take note of this chemical reaction	Take [MASK] of this chemical reaction	0
904	she noted everything the teacher said that morning	she [MASK] everything the teacher said that morning	0
905	offset deposits and withdrawals	[MASK] deposits and withdrawals	0
906	His skills offset his opponent's superior strength	His skills [MASK] his opponent's superior strength	0
907	offset the conference proceedings	[MASK] the conference proceedings	0
908	We oppose the ban on abortion	We [MASK] the ban on abortion	0
909	The senator said he would oppose the bill	The senator said he would [MASK] the bill	0
910	The board opposed his motion	The board [MASK] his motion	0
911	The King ordained the persecution and expulsion of the Jews.	The King [MASK] the persecution and expulsion of the Jews.	0
912	He was ordained in the Church.	He was [MASK] in the Church.	0
913	The minister was ordained only last month.	The minister was [MASK] only last month.	0
914	We had to orient ourselves in the forest	We had to [MASK] ourselves in the forest	0
915	The dean of students tries to orient the freshmen	The dean of students tries to [MASK] the freshmen	0
916	a magazine oriented towards young people	a magazine [MASK] towards young people	0
917	he painted all day in the garden	he [MASK] all day in the garden	0
918	We painted the rooms yellow	We [MASK] the rooms yellow	0
919	He painted his mistress many times	He [MASK] his mistress many times	0
920	Her violent feelings palpitated the young woman's heart	Her violent feelings [MASK] the young woman's heart	1
921	His nostrils palpitated	His nostrils [MASK]	0
922	His heart palpitated	His heart [MASK]	0
923	paste the sign on the wall	[MASK] the sign on the wall	0
924	He pasted his opponent	He [MASK] his opponent	1
925	paste the wall with burlap	[MASK] the wall with burlap	0
926	He peeped at the woman through the window.	He [MASK] at the woman through the window.	0
927	He peeped his head through the window.	He [MASK] his head through the window.	1
928	The new moon peeped through the tree tops.	The new moon [MASK] through the tree tops.	1
929	The bullet penetrated her chest.	The bullet [MASK] her chest.	0
930	The hikers did not manage to penetrate the dense forest.	The hikers did not manage to [MASK] the dense forest.	0
931	She was rather perturbed by the news that her father was seriously ill	She was rather [MASK] by the news that her father was seriously ill	0
932	The electrons were perturbed by the passing ion	The electrons were [MASK] by the passing ion	1
933	The orbits of these stars were perturbed by the passings of a comet	The orbits of these stars were [MASK] by the passings of a comet	1
934	Fundamental Islamicists threaten to perturb the social order in Algeria and Egypt	Fundamental Islamicists threaten to [MASK] the social order in Algeria and Egypt	1
935	"""piece the broken pieces of thread, slivers, and rovings"""	"""[MASK] the broken pieces of thread, slivers, and rovings"""	0
936	He pieced at the sandwich all morning	He [MASK] at the sandwich all morning	1
937	She pieced the china cup	She [MASK] the china cup	0
938	The cold pierced her bones.	The cold [MASK] her bones.	1
939	The scream pierced the night.	The scream [MASK] the night.	1
940	The needle pierced her flesh.	The needle [MASK] her flesh.	0
941	The child was pinned under the fallen tree	The child was [MASK] under the fallen tree	0
942	pin the needle to the shirt	[MASK] the needle to the shirt	0
943	pin down the butterfly	[MASK] down the butterfly	0
944	The bugs pinged the lamp shade	The bugs [MASK] the lamp shade	0
945	the car pinged when I put in low-octane gasoline	the car [MASK] when I put in low-octane gasoline	0
946	the bullet pinged when they struck the car	the bullet [MASK] when they struck the car	0
947	I'll ping my accountant--April 15 is nearing	I'll [MASK] my accountant--April 15 is nearing	1
948	ping your machine in the office	[MASK] your machine in the office	0
949	The demonstrators plastered the hallways with posters	The demonstrators [MASK] the hallways with posters	0
950	She plastered warnings all over the wall	She [MASK] warnings all over the wall	0
951	plaster the broken arm	[MASK] the broken arm	0
952	I pleaded with him to stop.	I [MASK] with him to stop.	0
953	She was pleading insanity.	She was [MASK] insanity.	0
954	She pleaded not guilty.	She [MASK] not guilty.	0
955	These colors please the senses	These colors [MASK] the senses	0
956	he could do many things if he pleased	he could do many things if he [MASK]	0
957	The waiters around her aim to please	The waiters around her aim to [MASK]	0
958	I pledge that I will honor my wife	I [MASK] that I will honor my wife	0
959	I pledged $10 a month to my favorite radio station	I [MASK] $10 a month to my favorite radio station	0
960	I was pledged to silence	I was [MASK] to silence	0
961	the stock market plunged	the stock market [MASK]	0
962	She plunged at it eagerly	She [MASK] at it eagerly	0
963	The professor plunged his students into the study of the Italian text	The professor [MASK] his students into the study of the Italian text	1
964	It plunged to the bottom of the well	It [MASK] to the bottom of the well	0
965	poison someone's mind	[MASK] someone's mind	1
966	She poisoned her husband	She [MASK] her husband	0
967	Her husband poisoned her drink in order to kill her	Her husband [MASK] her drink in order to kill her	0
968	This mushrooms can poison	This mushrooms can [MASK]	0
969	She poisoned her husband but he did not die	She [MASK] her husband but he did not die	0
970	the captain ported the ship at night	the captain [MASK] the ship at night	0
971	The ship finally ported	The ship finally [MASK]	0
972	The big ship was slowly porting	The big ship was slowly [MASK]	0
973	The small canoe could be ported easily	The small canoe could be [MASK] easily	0
974	We were porting all in the club after dinner	We were [MASK] all in the club after dinner	1
975	The book portrays the actor as a selfish person	The book [MASK] the actor as a selfish person	0
976	"""Goya wanted to portray his mistress, the Duchess of Alba"""	"""Goya wanted to [MASK] his mistress, the Duchess of Alba"""	0
977	The father is portrayed as a good-looking man in this painting	The father is [MASK] as a good-looking man in this painting	0
978	This poses an interesting question	This [MASK] an interesting question	1
979	We don't know the woman who posed for Leonardo so often	We don't know the woman who [MASK] for Leonardo so often	0
980	She posed as the Czar's daughter	She [MASK] as the Czar's daughter	0
981	the salesman pounded the door knocker	the salesman [MASK] the door knocker	0
982	The locks pound the water of the canal	The locks [MASK] the water of the canal	1
983	The prisoners are safely pounded	The prisoners are safely [MASK]	1
984	pound the cows so they don't stray	[MASK] the cows so they don't stray	0
985	pound the roots with a heavy flat stone	[MASK] the roots with a heavy flat stone	0
986	They poured water over the floor.	They [MASK] water over the floor.	0
987	People were pouring out of the theater.	People were [MASK] out of the theater.	1
988	Water poured all over the floor.	Water [MASK] all over the floor.	0
989	We poured money into the education of our children.	We [MASK] money into the education of our children.	1
990	Put on your rain coat -- it's pouring outside!	Put on your rain coat -- it's [MASK] outside!	1
991	Stone tools precede bronze tools	Stone tools [MASK] bronze tools	0
992	Most English adjectives precede the noun they modify	Most English adjectives [MASK] the noun they modify	0
993	Bill preceded John in the long line of Susan's husbands	Bill [MASK] John in the long line of Susan's husbands	0
994	She always precedes her lectures with a joke	She always [MASK] her lectures with a joke	0
995	The crisis precipitated by Russia's revolution	The crisis [MASK] by Russia's revolution	1
996	Our economy precipitated into complete ruin	Our economy [MASK] into complete ruin	1
997	The bridge broke and precipitated the train into the river below	The bridge broke and [MASK] the train into the river below	1
998	The predicate `dog' is predicated of the subject `Fido' in the sentence `Fido is a dog'	The [MASK] `dog' is predicated of the subject `Fido' in the sentence `Fido is a dog'	0
999	The speech predicated the fitness of the candidate to be President	The speech [MASK] the fitness of the candidate to be President	0
1000	solving the problem is predicated on understanding it well	solving the problem is [MASK] on understanding it well	0
1001	preserve the peace in the family	[MASK] the peace in the family	1
1002	We preserve these archeological findings	We [MASK] these archeological findings	0
1003	preserve the forest and the lakes	[MASK] the forest and the lakes	0
1004	The nurse pricked my finger to get a small blood sample	The nurse [MASK] my finger to get a small blood sample	0
1005	The needle pricked his skin	The needle [MASK] his skin	0
1006	The dog pricked up his ears	The dog [MASK] up his ears	0
1007	The thought of her unhappiness pricked his conscience	The thought of her unhappiness [MASK] his conscience	1
1008	The results of the elections were still being processed when he gave his acceptance speech	The results of the elections were still being [MASK] when he gave his acceptance speech	0
1009	He was warned that the district attorney would process him	He was warned that the district attorney would [MASK] him	1
1010	They processed into the dining room	They [MASK] into the dining room	0
1011	He was processed by the sheriff	He was [MASK] by the sheriff	0
1012	The tree would not produce fruit	The tree would not [MASK] fruit	0
1013	We produce more cars than we can sell	We [MASK] more cars than we can sell	0
1014	This procedure produces a curious effect	This procedure [MASK] a curious effect	0
1015	The proud father produced many pictures of his baby	The proud father [MASK] many pictures of his baby	0
1016	The Bordeaux region produces great red wines	The Bordeaux region [MASK] great red wines	0
1017	She professes organic chemistry	She [MASK] organic chemistry	0
1018	The terrorists professed allegiance to their country	The terrorists [MASK] allegiance to their country	0
1019	The teacher professed that he was not generous when it came to giving good grades	The teacher [MASK] that he was not generous when it came to giving good grades	0
1020	she professed herself as a nun	she [MASK] herself as a nun	0
1021	He professed innocence but later admitted his guilt	He [MASK] innocence but later admitted his guilt	0
1022	The genes propagate these characteristics to the offspring.	The genes [MASK] these characteristics to the offspring.	0
1023	Sound and light propagate in this medium.	Sound and light [MASK] in this medium.	0
1024	Sound or light can be propagated through air.	Sound or light can be [MASK] through air.	0
1025	This great civilization was propagated throughout the land.	This great civilization was [MASK] throughout the land.	0
1026	We provided the room with an electrical heater	We [MASK] the room with an electrical heater	0
1027	The hostess provided lunch for all the guests	The hostess [MASK] lunch for all the guests	0
1028	The will provides that each child should receive half of the money	The will [MASK] that each child should receive half of the money	0
1029	He provides for his large family by working three jobs	He [MASK] for his large family by working three jobs	0
1030	provide for the proper care of the passengers on the cruise ship	[MASK] for the proper care of the passengers on the cruise ship	0
1031	The sudden fame puffed her ego	The sudden fame [MASK] her ego	1
1032	The critics puffed up this Broadway production	The critics [MASK] up this Broadway production	1
1033	A puffing kind of man	A [MASK] kind of man	1
1034	Her faced puffed up from the drugs	Her faced [MASK] up from the drugs	0
1035	he huffed and puffed as he made his way up the mountain	he huffed and [MASK] as he made his way up the mountain	0
1036	He pumped bullets into the dummy.	He [MASK] bullets into the dummy.	1
1037	The athlete pumps weights in the gym.	The athlete [MASK] weights in the gym.	0
1038	She pumped the witnesses for information.	She [MASK] the witnesses for information.	1
1039	He pushed the table into a corner	He [MASK] the table into a corner	0
1040	"""`Now push hard,' said the doctor to the woman"""	"""`Now [MASK] hard,' said the doctor to the woman"""	0
1041	He pushed her to finish her doctorate	He [MASK] her to finish her doctorate	1
1042	The salesman is aggressively pushing the new computer model	The salesman is aggressively [MASK] the new computer model	1
1043	she pushed against the wall with all her strength	she [MASK] against the wall with all her strength	0
1044	She is pushing fifty	She is [MASK] fifty	1
1045	The liberal party pushed for reforms	The liberal party [MASK] for reforms	1
1046	The guy hanging around the school is pushing drugs	The guy hanging around the school is [MASK] drugs	1
1047	The crowd pushed forward	The crowd [MASK] forward	0
1048	That song put me in awful good humor	That song [MASK] me in awful good humor	0
1049	I wouldn't put it that way	I wouldn't [MASK] it that way	0
1050	She put too much emphasis on her the last statement	She [MASK] too much emphasis on her the last statement	1
1051	We put the time of arrival at 8 P.M.	We [MASK] the time of arrival at 8 P.M.	0
1052	He put her to the torture	He [MASK] her to the torture	0
1053	put these words to music	[MASK] these words to music	0
1054	I put these memories with those of bygone times	I [MASK] these memories with those of bygone times	0
1055	He quoted the Bible to her.	He [MASK] the Bible to her.	0
1056	He quoted prices for cars.	He [MASK] prices for cars.	0
1057	He said he could quote several instances of this behavior.	He said he could [MASK] several instances of this behavior.	0
1058	The sun radiates heat	The sun [MASK] heat	0
1059	She radiates happiness	She [MASK] happiness	1
1060	spokes radiate from the hub of the wheel	spokes [MASK] from the hub of the wheel	0
1061	Heat radiated from the metal box	Heat [MASK] from the metal box	0
1062	The police raided the crack house	The police [MASK] the crack house	0
1063	The pirates raided the coastal villages regularly	The pirates [MASK] the coastal villages regularly	0
1064	T. Boone Pickens raided many large companies	T. Boone Pickens [MASK] many large companies	0
1065	Our babysitter raided our refrigerator	Our babysitter [MASK] our refrigerator	1
1066	rail in the old graves	[MASK] in the old graves	1
1067	rail off the crowds from the Presidential palace	[MASK] off the crowds from the Presidential palace	0
1068	fresh fruit are railed from Italy to Belgium	fresh fruit are [MASK] from Italy to Belgium	0
1069	They railed from Rome to Venice	They [MASK] from Rome to Venice	0
1070	hundreds of miles were railed out here	hundreds of miles were [MASK] out here	0
1071	They are railing for fresh fish	They are [MASK] for fresh fish	1
1072	The ramped auditorium	The [MASK] auditorium	1
1073	the lion is rampant in this heraldic depiction	the lion is [MASK] in this heraldic depiction	0
1074	The roses ramped over the wall	The roses [MASK] over the wall	0
1075	Estimates for the losses in the earthquake range as high as $2 billion.	Estimates for the losses in the earthquake [MASK] as high as $2 billion.	0
1076	rationalize the child's seemingly crazy behavior	[MASK] the child's seemingly crazy behavior	1
1077	We rationalized the factory's production and raised profits	We [MASK] the factory's production and raised profits	0
1078	"""When one wonders why one is doing certain things, one should rationalize"""	"""When one wonders why one is doing certain things, one should [MASK]"""	0
1079	This function can be rationalized	This function can be [MASK]	0
1080	Government reaches out to the people	Government [MASK] out to the people	1
1081	Our advertisements reach millions	Our advertisements [MASK] millions	0
1082	The sunlight reached the wall	The sunlight [MASK] the wall	0
1083	The ambassador was recalled to his country	The ambassador was [MASK] to his country	0
1084	She was recalled by a loud laugh	She was [MASK] by a loud laugh	0
1085	The company recalled the product when it was found to be faulty	The company [MASK] the product when it was found to be faulty	0
1086	recall the defective auto tires	[MASK] the defective auto tires	0
1087	She could not recapture that feeling of happiness.	She could not [MASK] that feeling of happiness.	1
1088	The author recaptures an old idea here.	The author [MASK] an old idea here.	0
1089	The military forces managed to recapture the fort.	The military forces managed to [MASK] the fort.	0
1090	They tried to recapture the escaped prisoner.	They tried to [MASK] the escaped prisoner.	0
1091	He was recast as Iago.	He was [MASK] as Iago.	0
1092	The bell cracked and had to be recast.	The bell cracked and had to be [MASK].	0
1093	She had to recast her image to please the electorate in her home state.	She had to [MASK] her image to please the electorate in her home state.	0
1094	The party recruited many new members.	The party [MASK] many new members.	0
1095	The lab director recruited an able crew of assistants.	The lab director [MASK] an able crew of assistants.	0
1096	They recruited new soldiers.	They [MASK] new soldiers.	0
1097	The enemy redoubled their screaming on the radio	The enemy [MASK] their screaming on the radio	0
1098	The noise doubled and redoubled	The noise doubled and [MASK]	0
1099	The screaming redoubled	The screaming [MASK]	0
1100	Fame redounds to the heroes.	Fame [MASK] to the heroes.	1
1101	Everything redounded to his glory.	Everything [MASK] to his glory.	1
1102	Her efforts will redound to the general good.	Her efforts will [MASK] to the general good.	1
1103	They reenacted the battle of Princeton	They [MASK] the battle of Princeton	0
1104	Congress reenacted the law	Congress [MASK] the law	0
1105	She reenacted what had happened earlier that day	She [MASK] what had happened earlier that day	0
1106	There were lots of questions referring to her talk	There were lots of questions [MASK] to her talk	0
1107	This plant can be referred to a known species	This plant can be [MASK] to a known species	0
1108	refer a patient to a specialist	[MASK] a patient to a specialist	0
1109	Christians refer to the mother of Jesus as the Virgin Mary	Christians [MASK] to the mother of Jesus as the Virgin Mary	0
1110	refine one's style of writing	[MASK] one's style of writing	0
1111	refine a design or pattern	[MASK] a design or pattern	0
1112	many valuable nutrients are refined out of the foods in our modern diet	many valuable nutrients are [MASK] out of the foods in our modern diet	0
1113	refine a method of analysis	[MASK] a method of analysis	0
1114	This action reflects his true beliefs	This action [MASK] his true beliefs	1
1115	Sound is reflected well in this auditorium	Sound is [MASK] well in this auditorium	0
1116	Drive carefully--the wet road reflects	Drive carefully--the wet road [MASK]	0
1117	her sunglasses reflected his image	her sunglasses [MASK] his image	0
1118	His lack of interest in the project reflects badly on him	His lack of interest in the project [MASK] badly on him	1
1119	The mess in his dorm room reflects on the student	The mess in his dorm room [MASK] on the student	1
1120	reform a political system	[MASK] a political system	0
1121	The Church reformed me	The Church [MASK] me	1
1122	reform the health system in this country	[MASK] the health system in this country	0
1123	The lazy student promised to reform	The lazy student promised to [MASK]	0
1124	Did this event register in your parents' minds?	Did this event [MASK] in your parents' minds?	0
1125	register for an election	[MASK] for an election	0
1126	Did you register any change when I pressed the button?	Did you [MASK] any change when I pressed the button?	0
1127	Her surprise did not register	Her surprise did not [MASK]	0
1128	I'd like to register this letter	I'd like to [MASK] this letter	0
1129	the land rejuvenated	the land [MASK]	0
1130	The contact with his grandchildren rejuvenated him	The contact with his grandchildren [MASK] him	0
1131	The old man rejuvenated when he became a grandfather	The old man [MASK] when he became a grandfather	0
1132	The witness related the events.	The witness [MASK] the events.	1
1133	How are these two observations related?	How are these two observations [MASK]?	0
1134	She relates well to her peers	She [MASK] well to her peers	0
1135	He relaxed in the hot tub	He [MASK] in the hot tub	0
1136	relax the tension on the rope	[MASK] the tension on the rope	0
1137	A hot bath always relaxes me	A hot bath always [MASK] me	0
1138	our new colleague relaxed when he saw that we were a friendly group	our new colleague [MASK] when he saw that we were a friendly group	0
1139	The government relaxed the curfew after most of the rebels were caught	The government [MASK] the curfew after most of the rebels were caught	1
1140	The rules relaxed after the new director arrived	The rules [MASK] after the new director arrived	1
1141	I can't remember saying any such thing	I can't [MASK] saying any such thing	0
1142	he remembered how he used to pick flowers	he [MASK] how he used to pick flowers	0
1143	He remembered her in his will	He [MASK] her in his will	0
1144	remember me in your prayers	[MASK] me in your prayers	0
1145	"""After the shelling, many people lost the ability to remember"""	"""After the shelling, many people lost the ability to [MASK]"""	0
1146	We remembered the 50th anniversary of the liberation of Auschwitz	We [MASK] the 50th anniversary of the liberation of Auschwitz	0
1147	The taxes were remitted	The taxes were [MASK]	0
1148	God will remit their sins	God will [MASK] their sins	0
1149	The pain finally remitted	The pain finally [MASK]	0
1150	She repaired her TV set	She [MASK] her TV set	0
1151	One can never fully repair the suffering and losses of the Jews in the Third Reich	One can never fully [MASK] the suffering and losses of the Jews in the Third Reich	0
1152	He repaired to his cabin in the woods	He [MASK] to his cabin in the woods	1
1153	He replaced the old razor blade	He [MASK] the old razor blade	0
1154	Smith replaced Miller as CEO after Miller left	Smith [MASK] Miller as CEO after Miller left	0
1155	replace the book on the shelf after you have finished reading it	[MASK] the book on the shelf after you have finished reading it	0
1156	the con artist replaced the original with a fake Rembrandt	the con artist [MASK] the original with a fake Rembrandt	0
1157	Dozens of incidents of wife beatings are reported daily in this city	Dozens of incidents of wife beatings are [MASK] daily in this city	0
1158	I report to work every day at 9 o'clock	I [MASK] to work every day at 9 o'clock	0
1159	One student reported the other to the principal	One student [MASK] the other to the principal	0
1160	Snow reported on China in the 1950's	Snow [MASK] on China in the 1950's	0
1161	I reported her to the supervisor	I [MASK] her to the supervisor	0
1162	These philosophers reposed the law in the people	These philosophers [MASK] the law in the people	0
1163	Mao reposes in his mausoleum	Mao [MASK] in his mausoleum	0
1164	The nation reposed its confidence in the King	The nation [MASK] its confidence in the King	0
1165	reseat the old broken chair	[MASK] the old broken chair	0
1166	reseat Carnegie Hall	[MASK] Carnegie Hall	0
1167	The usher insisted on reseating us	The usher insisted on [MASK] us	0
1168	restore the forest to its original pristine condition	[MASK] the forest to its original pristine condition	0
1169	The week at the spa restored me	The week at the spa [MASK] me	0
1170	restore law and order	[MASK] law and order	0
1171	This soil retains water	This soil [MASK] water	0
1172	The landlord retained the security deposit	The landlord [MASK] the security deposit	0
1173	I cannot retain so much information	I cannot [MASK] so much information	0
1174	They car companies retrofitted all the old models with new carburetors	They car companies [MASK] all the old models with new carburetors	0
1175	The mansion was retrofitted with modern plumbing	The mansion was [MASK] with modern plumbing	0
1176	The laboratory retrofitted to meet the safety codes	The laboratory [MASK] to meet the safety codes	0
1177	let's review your situation	let's [MASK] your situation	0
1178	She reviews books for the New York Times	She [MASK] books for the New York Times	0
1179	I reviewed the material before the test	I [MASK] the material before the test	0
1180	she reviewed her achievements with pride	she [MASK] her achievements with pride	0
1181	The doctors revived the comatose man	The doctors [MASK] the comatose man	0
1182	A hot soup will revive me	A hot soup will [MASK] me	1
1183	Interest in ESP revived	Interest in ESP [MASK]	1
1184	He revived this style of opera	He [MASK] this style of opera	0
1185	right a wrongs done to the victims of the Holocaust	[MASK] a wrongs done to the victims of the Holocaust	0
1186	They righted the sailboat that had capsized	They [MASK] the sailboat that had capsized	0
1187	The capsized boat righted again	The capsized boat [MASK] again	0
1188	The curtain ripped from top to bottom.	The curtain [MASK] from top to bottom.	0
1189	The tornado ripped along the coast.	The tornado [MASK] along the coast.	1
1190	The candidate ripped into his opponent mercilessly.	The candidate [MASK] into his opponent mercilessly.	1
1191	this plant roots quickly	this plant [MASK] quickly	0
1192	The problem roots in her depression	The problem [MASK] in her depression	1
1193	the pig was rooting for truffles	the pig was [MASK] for truffles	0
1194	We rotate the lead soprano every night	We [MASK] the lead soprano every night	0
1195	Interns have to rotate for a few months	Interns have to [MASK] for a few months	1
1196	We rotate the crops so as to maximize the use of the soil	We [MASK] the crops so as to maximize the use of the soil	0
1197	She was rubricated by the pope	She was [MASK] by the pope	0
1198	the manuscript is not rubricated	the manuscript is not [MASK]	0
1199	"""In this beautiful book, all the place names are rubricated"""	"""In this beautiful book, all the place names are [MASK]"""	0
1200	She wanted to ruffle his composure.	She wanted to [MASK] his composure.	1
1201	This play is going to ruffle some people.	This play is going to [MASK] some people.	1
1202	The bird ruffled its feathers.	The bird [MASK] its feathers.	0
1203	The wind ruffled the surface of the water.	The wind [MASK] the surface of the water.	0
1204	The seamstress ruffled the curtain fabric.	The seamstress [MASK] the curtain fabric.	0
1205	You have ruined my car by pouring sugar in the tank!	You have [MASK] my car by pouring sugar in the tank!	0
1206	This behavior will ruin your chances of winning the election	This behavior will [MASK] your chances of winning the election	0
1207	The country lay ruined after the war	The country lay [MASK] after the war	0
1208	We sailed the Atlantic	We [MASK] the Atlantic	0
1209	"""I love sailing, especially on the open sea"""	"""I love [MASK] especially on the open sea"""	0
1210	The QE2 will sail to Southampton tomorrow	The QE2 will [MASK] to Southampton tomorrow	0
1211	the rebels had salted the fields with mines and traps	the rebels had [MASK] the fields with mines and traps	1
1212	She salts her lectures with jokes	She [MASK] her lectures with jokes	1
1213	people used to salt meats on ships	people used to [MASK] meats on ships	0
1214	I meet this men every day on my way to work and he salutes me	I meet this men every day on my way to work and he [MASK] me	0
1215	I salute your courage!	I [MASK] your courage!	1
1216	a terrible stench saluted our nostrils	a terrible stench [MASK] our nostrils	1
1217	"""When the officers show up, the soldiers have to salute"""	"""When the officers show up, the soldiers have to [MASK]"""	0
1218	This bike scales only 25 pounds	This bike [MASK] only 25 pounds	0
1219	The troops scaled the walls of the fort	The troops [MASK] the walls of the fort	0
1220	We scaled the Mont Blanc	We [MASK] the Mont Blanc	0
1221	This model must be scaled down	This model must be [MASK] down	0
1222	the surgeon scanned the X-ray	the surgeon [MASK] the X-ray	0
1223	She scanned the newspaper headlines while waiting for the taxi	She [MASK] the newspaper headlines while waiting for the taxi	0
1224	The beams scanned the night sky	The beams [MASK] the night sky	1
1225	The heat scorched the countryside.	The heat [MASK] the countryside.	1
1226	The wildfire scorched the forest and several homes.	The wildfire [MASK] the forest and several homes.	0
1227	The exposed tree scorched in the hot sun.	The exposed tree [MASK] in the hot sun.	1
1228	The home team scored many times.	The home team [MASK] many times.	0
1229	She scored the clay before firing it.	She [MASK] the clay before firing it.	0
1230	She scored high on the SAT.	She [MASK] high on the SAT.	0
1231	They scored the SAT essays.	They [MASK] the SAT essays.	0
1232	The cat scraped at the armchair	The cat [MASK] at the armchair	0
1233	They scraped a letter into the stone	They [MASK] a letter into the stone	0
1234	She had scraped together enough money for college	She had [MASK] together enough money for college	1
1235	They decided to screen the blood for the HIV virus.	They decided to [MASK] the blood for the HIV virus.	1
1236	The officer screened the suitcases.	The officer [MASK] the suitcases.	0
1237	The scientist screened these samples.	The scientist [MASK] these samples.	0
1238	The host seated me next to Mrs. Smith	The host [MASK] me next to Mrs. Smith	0
1239	"""The theater seats 2,000"""	"""The theater [MASK] 2,000"""	0
1240	seat the camera on the tripod	[MASK] the camera on the tripod	0
1241	the mother seated the toddler on the high chair	the mother [MASK] the toddler on the high chair	0
1242	She seems to be sleeping	She [MASK] to be sleeping	0
1243	It seems that he is very gifted	It [MASK] that he is very gifted	0
1244	There seems no reason to go ahead with the project now	There [MASK] no reason to go ahead with the project now	0
1245	I seem to be misunderstood by everyone	I [MASK] to be misunderstood by everyone	0
1246	This neighborhood is segregated	This neighborhood is [MASK]	0
1247	Many towns segregated into new counties	Many towns [MASK] into new counties	0
1248	the sun segregates the carbon	the sun [MASK] the carbon	0
1249	The sales clerk quickly seized the money on the counter	The sales clerk quickly [MASK] the money on the counter	0
1250	The terrorists seized the politicians	The terrorists [MASK] the politicians	0
1251	the invaders seized the land and property of the inhabitants	the invaders [MASK] the land and property of the inhabitants	0
1252	The FBI seized the drugs	The FBI [MASK] the drugs	0
